title,author,genres,rating,chapters,reviews,url
Imperial God Emperor,Warring Blades (乱世狂刀),Chinese;Cultivation;Action,51%,1373 Chapters,25,https://www.wuxiaworld.com/novel/imperial-god-emperor
Interstellar Survival: Invasion,当年残月,Chinese;Fantasy;Sci-fi,70%,349 Chapters,9,https://www.wuxiaworld.com/novel/interstellar-survival-invasion
Invincible,神见 (Shen Jian),Chinese;Romance;Xuanhuan;Action;Alchemy;Mature,51%,3753 Chapters,165,https://www.wuxiaworld.com/novel/invincible
Keyboard Immortal,Monk of the Six Illusions,Chinese;Fantasy;Comedy;Cultivation;Cheat Systems;Xuanhuan;Action;Political Intrigue;Harem,76%,1719 Chapters,233,https://www.wuxiaworld.com/novel/keyboard-immortal
Law of Space and Time,千方明灭,Chinese;Fantasy;Action,63%,319 Chapters,27,https://www.wuxiaworld.com/novel/law-of-space-and-time
Lord of All Realms,Ni Cang Tian,Chinese;Romance;Fantasy;Xianxia;Xuanhuan;Action;Political Intrigue,56%,1823 Chapters,59,https://www.wuxiaworld.com/novel/lord-of-all-realms
Love Code at the End of the World,Octahedral Kitsune (八面妖狐),Chinese;Romance;Sci-fi;Action;Post-apocalyptic;Superpowers;Female Protagonist,76%,934 Chapters,29,https://www.wuxiaworld.com/novel/love-code-at-the-end-of-the-world
Magic Apprentice,Topaz QD,Chinese;Fantasy;Comedy;Action;Harem,38%,111 Chapters,37,https://www.wuxiaworld.com/novel/magic-apprentice
Martial God Asura,Kindhearted Bee,Chinese;Fantasy;Xuanhuan;Action;Mature,49%,5547 Chapters,515,https://www.wuxiaworld.com/novel/martial-god-asura
Martial World,Cocooned Cow,Chinese;Romance;Fantasy;Mystery;Xuanhuan;Action;Tragedy;Alchemy;Cooking,83%,2276 Chapters,187,https://www.wuxiaworld.com/novel/martial-world
Monarch of Evernight,"Misty Rain of the South,  烟雨江南 (Author of City of Sin and Demon Hunter)",Chinese;Romance;Fantasy;Xuanhuan;Action;Wuxia;Political Intrigue,71%,1525 Chapters,107,https://www.wuxiaworld.com/novel/monarch-of-evernight
Necropolis Immortal,Immortal Amidst Snow in July,Chinese;Fantasy;Comedy;Mystery;Xianxia;Action;Political Intrigue,84%,2198 Chapters,175,https://www.wuxiaworld.com/novel/necropolis-immortal
Netherworld Investigator,Ninth Daoist (道门老九),Chinese;Mystery;Thriller;Action;Modern Setting,72%,525 Chapters,14,https://www.wuxiaworld.com/novel/netherworld-investigator
Nine Star Hegemon Body Art,Ordinary Magician (平凡魔术师),Chinese;Fantasy;Comedy;Xianxia;Xuanhuan;Action;Crafting;Alchemy,72%,3842 Chapters,410,https://www.wuxiaworld.com/novel/nine-star-hegemon
Otherworldly Merchant,Ninth Daoist (道门老九),Chinese;Mystery;Modern Setting,64%,650 Chapters,19,https://www.wuxiaworld.com/novel/otherworldly-merchant
Perfect World,Chen Dong (辰东),Chinese;Fantasy;Comedy;Xuanhuan;Action;Tragedy,69%,2018 Chapters,81,https://www.wuxiaworld.com/novel/perfect-world
Phoenix's Requiem,君彤 (Jun Tong),Chinese;Romance;Cultivation;Female Protagonist,68%,492 Chapters,29,https://www.wuxiaworld.com/novel/phoenixs-requiem
Physician’s Odyssey,Smoking Pipe Bro (烟斗老哥),Chinese;Romance;Comedy;Action;Wuxia;Modern Setting;Political Intrigue,63%,902 Chapters,28,https://www.wuxiaworld.com/novel/physicians-odyssey
Poison Physician Consort,二十四会,Chinese;Romance;Female Protagonist,55%,397 Chapters,31,https://www.wuxiaworld.com/novel/poison-physician-consort
